experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,1,43,3,0.8151057801842689,0.8143083974123001,0.2,0.8,1e-07,0.05,0.0,0.42347967981686874,0.0,0.08026038968465689,0.06057837791544147,0.0,0.35777048646561005,0.03740620367356053,0.05698974798657142,0.11294276506030101,0.17386324229596936,0.11286368948339343,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,1,43,4,0.8140763232707977,0.8117468293905258,0.2,0.8,1e-07,0.05,0.03545976256539279,0.5398012345794068,0.0,0.1002341809363109,0.035219434472187484,0.0,0.3104830003250155,0.05801902068249892,0.08871438549812381,0.1297701132287707,0.19626226717141632,0.135050969997581,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,1,43,5,0.8131946333646775,0.8099343626499176,0.2,0.8,1e-07,0.05,0.06614272973809221,0.5239517092803208,0.0,0.06833759287216562,0.10321938337513206,0.0,0.33833262534033465,0.054380859549325596,0.07433468378895723,0.13652217599381422,0.20821063215059016,0.1391017371055237,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,2,44,1,0.8217970514893532,0.8160695295333862,0.2,0.8,1e-07,0.05,0.0,0.4082726689311359,0.0,0.11158204562499338,0.0,0.0,0.29892824091246045,0.0,0.0004208297475526258,0.09102264280179359,0.13796593770279714,0.10397094291122586,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,2,44,2,0.8168610065579415,0.8125337772369384,0.2,0.8,1e-07,0.05,0.0,0.5135959383148843,0.0,0.09856853813444705,0.045780427016995556,0.0,0.41228770872787446,0.050507762098395366,0.037030432204336654,0.12864120072188145,0.1885642330471162,0.13158898069326536,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,2,44,3,0.8147244556546211,0.815210300207138,0.2,0.8,1e-07,0.05,0.0,0.4796087280910409,0.0,0.05687978168408331,0.0895420922290024,0.0,0.29398332693167595,0.027956168752693192,0.06776192693183565,0.1128591138467035,0.17288833500767653,0.12520612040082532,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,2,44,4,0.8130071702003479,0.8093521443605423,0.2,0.8,1e-07,0.05,0.07782679872875008,0.5229559200860496,0.0,0.2000400359480957,0.0719526716642304,0.0,0.3480167076900127,0.09958203793577507,0.07719580395380345,0.15528555288963522,0.23773409429249184,0.15898972553967514,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,2,44,5,0.8109215752482414,0.8098256587982178,0.2,0.8,1e-07,0.05,0.08234147141089015,0.4880966604012698,0.0,0.20879648438596804,0.09105204188077114,0.0,0.2637329042252721,0.05091688943305631,0.10456996919704378,0.14327849121491906,0.22490576501891038,0.1575890373336018,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0,42,1,0.8341914190649986,0.8278001810312271,0.2,0.8,1e-07,0.1,0.0,0.4751268758226318,0.0,0.10617124791220565,0.0,0.0,0.3846109142391661,0.07410578142660729,0.0,0.11555720215562343,0.16996477767406845,0.1162596247469675,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0,42,2,0.8300417876839637,0.8307924987077713,0.2,0.8,1e-07,0.1,0.0,0.364743219471051,0.0,0.05654930225946525,0.0,0.0,0.18213592044850974,0.04838580824023733,0.0361908477559669,0.07644501090835892,0.12354158611049722,0.08425850434610324,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0,42,3,0.8291192918419837,0.8273317921161651,0.2,0.8,1e-07,0.1,0.0,0.43787356596328364,0.0,0.06564506694326838,0.04080323728163556,0.0,0.27284105067609593,0.08225963000454056,0.010220012044274456,0.10107139587923317,0.15684739514764767,0.10886437403763752,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0,42,4,0.8279777689576149,0.8265455107688904,0.2,0.8,1e-07,0.1,0.0,0.5539653131490766,0.0,0.05323851421538061,0.050259139245945064,0.0,0.2607129563372688,0.05200489357055063,0.04262087692576268,0.11253352149377606,0.16711048397923045,0.13149259332208046,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0,42,5,0.8275478656888008,0.8266168217658997,0.2,0.8,1e-07,0.1,0.0,0.4267402306429434,0.0,0.033846773841906375,0.04410293859583546,0.0,0.4079856080461731,0.036838646072954305,0.12771207595556022,0.11969180812837478,0.18058318734775494,0.10093798861613705,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,1,43,1,0.8346005981564522,0.8285017967224121,0.2,0.8,1e-07,0.1,0.0,0.48335044423423573,0.0,0.11007978351099557,0.0,0.0,0.0,0.05889752051082727,0.0,0.07248086091733984,0.10680797132212663,0.11868604554904624,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,1,43,2,0.8304708041548728,0.8273737488985061,0.2,0.8,1e-07,0.1,0.0,0.4948785076625455,0.0,0.0750388912907872,0.0,0.0,0.3227477666768452,0.05010879351341928,0.03838051325891896,0.10901716360027958,0.1621173313910525,0.11398347979066654,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,1,43,3,0.8285295307040215,0.8285981025695801,0.2,0.8,1e-07,0.1,0.0,0.45853735155150954,0.0,0.06663359809264285,0.014421592782214138,0.0,0.2839704247029061,0.06035830031676924,0.03891851000057984,0.10253775304962463,0.1570262545628977,0.10791850848527329,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,1,43,4,0.828012639939785,0.827204780459404,0.2,0.8,1e-07,0.1,0.0,0.5194965012732682,0.0,0.05650874883271838,0.04321494334955826,0.0,0.2527405000064558,0.047311133752307555,0.06454846254681693,0.1093133655290139,0.16541264969734681,0.12384403869110897,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,1,43,5,0.8275138879418373,0.8241201388835907,0.2,0.8,1e-07,0.1,0.0,0.5640833052910275,0.0,0.07541199107472378,0.07554953893033896,0.0,0.2811866189810018,0.041209362844919904,0.09098751993923018,0.125380926340138,0.18743679804777308,0.14300896705921803,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,2,44,1,0.8338782892227173,0.828743424654007,0.2,0.8,1e-07,0.1,0.0,0.39915704256185464,0.0,0.09456169174602988,0.0,0.0,0.4321948773183146,0.0,0.0,0.10287929018068878,0.14965494106033927,0.0987437468615769,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,2,44,2,0.8296765654683113,0.8258228561878205,0.2,0.8,1e-07,0.1,0.0,0.5407554343590977,0.0,0.06853508651164808,0.03836829186445916,0.0,0.3421905542207125,0.03934046887284683,0.0027718131188608263,0.11466240543862499,0.1661383161502309,0.12953176254704096,,,,,
