experiment_name,loss_mode,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,epochs,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,best_miou_mean,best_miou_std,last_miou_mean,last_miou_std,best_macro_f1_mean,best_macro_f1_std,last_macro_f1_mean,last_macro_f1_std,best_rare_miou_mean,best_rare_miou_std,last_rare_miou_mean,last_rare_miou_std,repeats
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,0.5,0.5,1e-05,0.1,5,,,,,,0.10554580320991175,0.006396950248024337,0.10554580320991175,0.006396950248024337,0.1474315437962038,0.008640458026918414,0.1474315437962038,0.008640458026918414,0.11525350835000914,0.006378136052445402,0.11525350835000914,0.006378136052445402,3
bce_tversky__mix_weight-0.5__alpha-0.2__beta-0.8,bce_tversky,0.5,,,,5,,0.5,0.2,0.8,,0.10486730733295606,0.017446498148416843,0.10394954776324979,0.017785225571207694,0.1536329093765967,0.021050739151714824,0.15171404608452138,0.021836226183859244,0.1230495974211338,0.022849819049263923,0.1230495974211338,0.022849819049263923,3
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0.5,0.5,1e-07,0.05,5,,,,,,0.10320471278057519,0.005533793732989075,0.0982582219653949,0.009872987728920354,0.1448935870673477,0.006279813719788569,0.13669571733618266,0.011203582803617582,0.11424875619519174,0.004573925662661548,0.11164039403413434,0.005899383945630207,3
focal_tversky_mix__mix_weight-0.5__alpha-0.2__gamma-2__beta-0.8,focal_tversky_mix,,,,,5,0.5,0.5,0.2,0.8,2.0,0.100776519525419,0.005990836668850401,0.100776519525419,0.005990836668850401,0.14661560022266829,0.00614821523055211,0.14661560022266829,0.00614821523055211,0.12584520921380832,0.0017459435063370493,0.12369954132939213,0.0017616000761567713,3
focal_tversky_mix__mix_weight-0.8__alpha-0.8__gamma-3__beta-0.2,focal_tversky_mix,,,,,5,0.8,0.19999999999999996,0.8,0.19999999999999996,3.0,0.10042442556079195,0.004861323570982234,0.08743618650618913,0.016711841535771793,0.14117109828637653,0.004487877909938681,0.12070000999222923,0.024180318310583107,0.11048045004177565,0.002776753687386068,0.10811573539838316,0.004174337744353824,3
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,0.5,0.5,1e-05,0.05,5,,,,,,0.10017791053339244,0.0053451388563777015,0.09830392853778347,0.0053139120234933735,0.13840663419728214,0.006870377545153519,0.13565790062804148,0.006734001835208557,0.11451919580982876,0.003114186915536413,0.11361890907724292,0.003936754789947067,3
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0.5,0.5,1e-07,0.1,5,,,,,,0.09982395402987287,0.01014408522153695,0.09247049047087881,0.008516310652155362,0.14187614713155047,0.014448306645841657,0.1300341723143049,0.009527565562348388,0.11393246135099307,0.003673571853949746,0.10568964020059983,0.006908909180377778,3
focal_tversky_mix__mix_weight-0.8__alpha-0.8__gamma-2__beta-0.2,focal_tversky_mix,,,,,5,0.8,0.19999999999999996,0.8,0.19999999999999996,2.0,0.09925058107891338,0.009044826909436096,0.09522401899044501,0.009057925855508886,0.1386959822477056,0.012087051304620719,0.13307068321489582,0.01236867044756388,0.11301690524913481,0.002931094786859261,0.111194727553328,0.000623685187161346,3
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,0.8,0.19999999999999996,1e-06,0.1,5,,,,,,0.08973914458949515,0.018003930296070222,0.08973914458949515,0.018003930296070222,0.12165744365455711,0.027342257479365206,0.12165744365455711,0.027342257479365206,0.11112337717801106,0.008024042334028045,0.11112337717801106,0.008024042334028045,3
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0.8,0.19999999999999996,1e-07,0.0,5,,,,,,0.0871761886675894,0.018703914132956932,0.08587198479676318,0.01825169131656919,0.11881930888941712,0.027515672519216414,0.11712818259100999,0.026993222182743512,0.10925628828843598,0.004547016947057558,0.10798260449988588,0.006201903409798209,3
dice_focal__mix_weight-0.2__gamma-1,dice_focal,,0.2,,,5,0.8,,,,1.0,0.0867911288756248,0.004238498348282009,0.07757947415389992,0.016543621429053808,0.12339957082277597,0.0040932790961639015,0.10813448280875283,0.024182187959503516,0.10866760362204786,0.0024616080313073344,0.10434478885717834,0.004783733391407455,3
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-3__beta-0.5,focal_tversky_mix,,,,,5,0.8,0.19999999999999996,0.5,0.5,3.0,0.08670992528542194,0.011435966910268684,0.08502904341365479,0.013344068748445523,0.125205039127996,0.012607288113346134,0.12140201275728031,0.017444297038120712,0.10895017721671447,0.007378352545935,0.10820703663456861,0.007600319835429749,3
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0.8,0.19999999999999996,1e-07,0.1,5,,,,,,0.08631191969162551,0.00969737034212083,0.08631191969162551,0.00969737034212083,0.12099298150073286,0.012938644882218483,0.12099298150073286,0.012938644882218483,0.11038957816149725,0.0038312884647995677,0.10760124406411647,0.007753373046395059,3
dice_focal__mix_weight-0.2__gamma-3,dice_focal,,0.2,,,5,0.8,,,,3.0,0.08351496157454408,0.018686365287219973,0.05723862462731962,0.004828576474380183,0.11575027310866197,0.02798918175869064,0.07944588877228496,0.0032370452379719286,0.10461974990334821,0.004908935225627854,0.0973809787770923,0.012489062566928635,3
dice_focal__mix_weight-0.2__gamma-2,dice_focal,,0.2,,,5,0.8,,,,2.0,0.07892292774739748,0.014509759196585693,0.07892292774739748,0.014509759196585693,0.11019666539221273,0.023123918243948438,0.11019666539221273,0.023123918243948438,0.10501125961394693,0.003998277976010531,0.10501125961394693,0.003998277976010531,3
bce_dice__mix_weight-0.8__dice_smooth-1e-06,bce_dice,0.8,0.19999999999999996,1e-06,,5,,,,,,0.07669276677577648,0.0198444887915137,0.0745819193473968,0.02159250777987285,0.10204000607273227,0.028492028797016872,0.10003847744461121,0.030097943168703407,0.11100630146792946,0.002965713442556987,0.10720677609684605,0.0061639090343497465,3
bce_dice__mix_weight-0.8__dice_smooth-1e-07,bce_dice,0.8,0.19999999999999996,1e-07,,5,,,,,,0.07621646955929838,0.012377664688170973,0.07494152441912823,0.014090930106465827,0.10569490322240198,0.020086412101448403,0.10455830222809626,0.021608903487613847,0.10567034922332223,0.009251904943278553,0.10337544797101599,0.009373208659818454,3
focal_tversky_mix__mix_weight-0.8__alpha-0.2__gamma-3__beta-0.8,focal_tversky_mix,,,,,5,0.8,0.19999999999999996,0.2,0.8,3.0,0.07550536869545386,0.013535388141086242,0.05777741904763359,0.00222656496803733,0.10990158335847677,0.01873321577896575,0.07952637410625096,0.004447220359178193,0.10387481100789613,0.003951710937283077,0.10387481100789613,0.003951710937283077,3
focal_tversky_mix__mix_weight-0.8__alpha-0.8__gamma-1__beta-0.2,focal_tversky_mix,,,,,5,0.8,0.19999999999999996,0.8,0.19999999999999996,1.0,0.0754241690146123,0.007707996698751435,0.05862467708889241,0.008074380635742406,0.10826039279636142,0.012394640776360799,0.07989224685369185,0.010630045375120361,0.10616650807547752,0.005594253703450931,0.10126872927981174,0.010223295269089862,3
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-2__beta-0.5,focal_tversky_mix,,,,,5,0.8,0.19999999999999996,0.5,0.5,2.0,0.07447277663385649,0.014916625356249852,0.07398380443325765,0.015509160874890007,0.10334472681606115,0.02207692091219718,0.10264831684696435,0.022931101734852154,0.10399190947810015,0.003696181452626421,0.10311175951702223,0.004377285630263768,3
focal_tversky_mix__mix_weight-0.8__alpha-0.5__gamma-1__beta-0.5,focal_tversky_mix,,,,,5,0.8,0.19999999999999996,0.5,0.5,1.0,0.07361513673200627,0.023124857640545726,0.07234422763535603,0.024126587058558836,0.10033921632564301,0.034141887990873795,0.09918353161979505,0.03501018544922989,0.10928239640389585,0.008878505254306565,0.10699476002992542,0.011221732446658748,3
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,0.8,0.19999999999999996,1e-05,0.05,5,,,,,,0.07359782953604256,0.018138585460975583,0.07359782953604256,0.018138585460975583,0.1005923028876227,0.025940644395542365,0.1005923028876227,0.025940644395542365,0.1057003388912378,0.0026534241457344407,0.1055380675243855,0.0028590140156066644,3
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,0.8,0.19999999999999996,1e-05,0.0,5,,,,,,0.07356798564404134,0.018342151799303746,0.0735205338676744,0.01837877064205581,0.10043006098182726,0.0263325511090318,0.09910137363247562,0.027281959092828937,0.10736793027677238,0.0030016782477815434,0.10728099631920836,0.0030147138188251583,3
focal_tversky_mix__mix_weight-0.8__alpha-0.2__gamma-2__beta-0.8,focal_tversky_mix,,,,,5,0.8,0.19999999999999996,0.2,0.8,2.0,0.072850133896646,0.013281881975934839,0.062133569397905465,0.008325735781686643,0.10504897750864846,0.021234666094588673,0.08740600124989294,0.01565715984126454,0.09926182712006502,0.01018504603203126,0.09614915176468024,0.007125375994114058,3
