experiment_name,loss_mode,repeat_idx,seed,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,best_miou,last_miou,best_macro_f1,last_macro_f1,best_rare_miou,last_rare_miou,epochs,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,mix_weight,dice_smooth,soft_bce_smooth,alpha,gamma,beta
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.5,0.5,1e-07,0.05,0.101393583283293,0.0865541108377521,0.1478410557732919,0.1232474465797968,0.1140950860584294,0.1063281148495493,5,,,,,,0.5,1e-07,0.05,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.5,0.5,1e-07,0.05,0.1107037718286723,0.1107037718286723,0.1506750861154094,0.1506750861154094,0.1087252802839815,0.1087252802839815,5,,,,,,0.5,1e-07,0.05,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.5,0.5,1e-07,0.05,0.0975167832297601,0.0975167832297601,0.1361646193133417,0.1361646193133417,0.1199259022431642,0.1198677869688721,5,,,,,,0.5,1e-07,0.05,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.5,0.5,1e-07,0.1,0.1132756217818914,0.101856379512117,0.1615451188303708,0.1400080462699184,0.1167306167606401,0.1112225183545205,5,,,,,,0.5,1e-07,0.1,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.5,0.5,1e-07,0.1,0.0887803460178435,0.081241481701402,0.1272480184469197,0.1172016546023892,0.1087425473298938,0.0959489639901271,5,,,,,,0.5,1e-07,0.1,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.5,0.5,1e-07,0.1,0.0974158942898836,0.0943136101991174,0.1368353041173609,0.1328928160706069,0.1163242199624452,0.1098974382571519,5,,,,,,0.5,1e-07,0.1,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.5,0.5,1e-06,0.0,0.1076084138941459,0.0881413650688189,0.1527319357630717,0.1263917363405066,0.1088946748595875,0.1088946748595875,5,,,,,,0.5,1e-06,0.0,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.5,0.5,1e-06,0.0,0.107767741258944,0.0974308981604892,0.1583498291511655,0.1352062544770621,0.1087955529665096,0.1060046748354601,5,,,,,,0.5,1e-06,0.0,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.5,0.5,1e-06,0.0,0.1110421005391386,0.1110421005391386,0.1576597412585596,0.1576597412585596,0.1324187820475672,0.1324187820475672,5,,,,,,0.5,1e-06,0.0,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.5,0.5,1e-06,0.05,0.1026507099390107,0.0956843216086926,0.1422408869795326,0.1329724683020709,0.1107359484855633,0.1107359484855633,5,,,,,,0.5,1e-06,0.05,,,
